"Отметка времени","Ваш возраст:","Какая ваша любимая социальная сеть?","Сколько времени в среднем вы проводите в социальных сетях ежедневно?","Для чего вы в основном используете социальные сети?","На каком устройстве вы чаще всего используете социальные сети?","Какую социальную сеть вы считаете самой полезной для своей жизни?","Чувствуете ли вы себя зависимым от социальных сетей?","Случалось ли вам испытывать стресс или беспокойство из-за социальных сетей?","Как бы вы оценили влияние социальных сетей на ваше психическое здоровье?","Ощущаете ли вы давление публиковать фотографии или делиться событиями из своей жизни в социальных сетях?"
"2024/11/14 12:58:15 PM GMT+6","35-44 года","Facebook","1-2 часа","Чтение новостей","Компьютер/Ноутбук","Facebook","Иногда","Иногда","Нейтральное","Да"
"2024/11/14 1:03:01 PM GMT+6","25-34 года","Instagram","1-2 часа","Общение с друзьями;Развлечения","Смартфон","Instagram","Иногда","Никогда","Нейтральное","Иногда"
"2024/11/14 1:03:03 PM GMT+6","25-34 года","Instagram","2-4 часа","Чтение новостей;Развлечения","Смартфон","Whatsapp","Иногда","Никогда","Скорее положительное","Нет"
"2024/11/14 1:04:28 PM GMT+6","25-34 года","Facebook","1-2 часа","Чтение новостей;Развлечения;Продвижение собственного контента","Смартфон","Facebook ","Нет","Редко","Нейтральное","Нет"
"2024/11/14 1:11:02 PM GMT+6","35-44 года","Instagram","1-2 часа","Развлечения","Смартфон","Instagram","Нет","Никогда","Скорее положительное","Нет"
"2024/11/14 1:17:28 PM GMT+6","45-54 года","Instagram","Менее 1 часа","Общение с друзьями","Смартфон","","Нет","Часто","Положительное","Да"
"2024/11/14 1:20:40 PM GMT+6","18-24 года","TikTok","2-4 часа","Общение с друзьями;Развлечения;Работа или учеба","Смартфон","","Нет","","Положительное","Иногда"
"2024/11/14 1:20:43 PM GMT+6","18-24 года","TikTok","1-2 часа","Общение с друзьями;Развлечения;Работа или учеба","Смартфон","Чат жпт ","Иногда","Никогда","Нейтральное","Нет"
"2024/11/14 1:20:47 PM GMT+6","18-24 года","Instagram","2-4 часа","Чтение новостей","Смартфон","Ютуб","Затрудняюсь ответить","Никогда","Отрицательное","Нет"
"2024/11/14 1:20:52 PM GMT+6","18-24 года","Instagram","Менее 1 часа","Общение с друзьями;Развлечения;Продвижение собственного контента","Смартфон","Ватсап","Нет","Никогда","Нейтральное","Нет"
"2024/11/14 1:21:07 PM GMT+6","18-24 года","Instagram","1-2 часа","Общение с друзьями;Работа или учеба","Смартфон","","Иногда","Иногда","Положительное","Иногда"
"2024/11/14 1:21:49 PM GMT+6","18-24 года","Instagram","2-4 часа","Тратить время ","Смартфон","YouTube ","Да","Никогда","Нейтральное","Нет"
"2024/11/14 1:22:05 PM GMT+6","Младше 18 лет","Instagram","Менее 1 часа","Общение с друзьями;Развлечения","Смартфон","Ютуб ","Нет","Никогда","Нейтральное","Нет"
"2024/11/14 1:25:38 PM GMT+6","18-24 года","Google ","4-6 часов","Чтение новостей;Развлечения","Смартфон","Ютуб, гугл","Затрудняюсь ответить","Часто","Нейтральное","Да"
"2024/11/14 1:29:43 PM GMT+6","Младше 18 лет","","2-4 часа","Общение с друзьями;Чтение новостей;Работа или учеба","Смартфон","Google ","Нет","Никогда","Нейтральное","Нет"
"2024/11/14 1:29:59 PM GMT+6","18-24 года","Instagram","1-2 часа","Общение с друзьями;Развлечения;Работа или учеба","Смартфон","","Нет","Никогда","Отрицательное","Нет"
"2024/11/14 1:31:14 PM GMT+6","Младше 18 лет","Instagram","2-4 часа","Общение с друзьями","Смартфон","Телеграмм ","Иногда","Иногда","Скорее отрицательное","Иногда"
"2024/11/14 1:31:39 PM GMT+6","18-24 года","TikTok","1-2 часа","Общение с друзьями;Работа или учеба","Смартфон","Instagram,tik tok","Нет","Редко","Нейтральное","Нет"
"2024/11/14 1:31:42 PM GMT+6","Младше 18 лет","Instagram","2-4 часа","Во всем ","Смартфон","Instagram ","Нет","Никогда","Нейтральное","Нет"
"2024/11/14 2:10:53 PM GMT+6","18-24 года","Instagram","Менее 1 часа","Общение с друзьями;Чтение новостей;Работа или учеба","Смартфон","Telegram","Иногда","Иногда","Нейтральное","Нет"
"2024/11/14 8:47:08 PM GMT+6","Младше 18 лет","TikTok","1-2 часа","Развлечения","Смартфон","Гугл","Иногда","Редко","Нейтральное","Нет"
"2024/11/14 8:53:21 PM GMT+6","18-24 года","Instagram","2-4 часа","Общение с друзьями;Чтение новостей;Развлечения;Работа или учеба;Продвижение собственного контента","Смартфон","Телеграм ","Да","Редко","Нейтральное","Иногда"
"2024/11/14 9:14:00 PM GMT+6","18-24 года","Instagram","2-4 часа","Общение с друзьями;Чтение новостей;Развлечения","Смартфон","никакую . соц сети зло","Иногда","Никогда","Скорее отрицательное","Иногда"
"2024/11/14 11:01:30 PM GMT+6","18-24 года","Instagram","4-6 часов","Общение с друзьями;Развлечения","Смартфон","Инстаграм ","Да","Иногда","Отрицательное","Да"
"2024/11/14 11:05:10 PM GMT+6","25-34 года","Facebook","1-2 часа","Чтение новостей;Развлечения","Смартфон","","Нет","Никогда","Нейтральное","Нет"
"2024/11/14 11:16:32 PM GMT+6","18-24 года","Instagram","2-4 часа","Общение с друзьями;Развлечения","Смартфон","","Иногда","Никогда","Скорее положительное","Нет"
"2024/11/14 11:57:24 PM GMT+6","18-24 года","Instagram","1-2 часа","Общение с друзьями;Для себя ","Смартфон"," Куран","Нет","Редко","Скорее отрицательное","Да"
"2024/11/15 12:30:02 AM GMT+6","55 лет и старше","Instagram","Более 6 часов","Работа или учеба","Смартфон","Телеграмм","Иногда","Редко","Скорее положительное","Иногда"
"2024/11/17 12:42:27 AM GMT+6","18-24 года","Instagram","2-4 часа","Общение с друзьями;Чтение новостей;Развлечения;Работа или учеба","Смартфон","","Иногда","Никогда","Нейтральное","Нет"
"2024/11/17 4:24:04 PM GMT+6","18-24 года","TikTok","4-6 часов","Развлечения","Смартфон","YouTube ","Да","Иногда","Нейтральное","Да"
"2024/11/17 5:29:48 PM GMT+6","18-24 года","TikTok","Более 6 часов","Общение с друзьями;Чтение новостей;Развлечения;Работа или учеба","Смартфон","Instagram ","Иногда","Иногда","Нейтральное","Иногда"
"2024/11/17 5:31:47 PM GMT+6","18-24 года","Instagram","4-6 часов","Общение с друзьями;Чтение новостей;Развлечения;Работа или учеба","Смартфон","Instagram, TikTok","Иногда","Иногда","Нейтральное","Да"
"2024/11/17 6:22:09 PM GMT+6","18-24 года","Instagram","1-2 часа","Развлечения","Смартфон","","Да","Иногда","Скорее отрицательное","Нет"
"2024/11/17 6:32:13 PM GMT+6","18-24 года","TikTok","4-6 часов","Общение с друзьями;Чтение новостей;Развлечения","Смартфон","-","Да","Никогда","Скорее отрицательное","Да"
"2024/11/17 6:49:30 PM GMT+6","18-24 года","Youtube","1-2 часа","Общение с друзьями;Чтение новостей;Развлечения","Смартфон","Youtube","Иногда","Редко","Скорее положительное","Нет"
"2024/11/19 8:25:16 AM GMT+6","25-34 года","Instagram","1-2 часа","Чтение новостей;Развлечения","Смартфон","Ютуб","Да","Никогда","Нейтральное","Нет"
"2024/11/19 1:42:30 PM GMT+6","18-24 года","Twitter","2-4 часа","Чтение новостей;Развлечения;Продвижение собственного контента","Смартфон","Никакую","Да","Иногда","Нейтральное","Да"
"2024/11/19 1:42:46 PM GMT+6","18-24 года","TikTok","4-6 часов","Общение с друзьями;Чтение новостей;Развлечения;Работа или учеба","Смартфон","Instagram ","Иногда","Иногда","Нейтральное","Иногда"
"2024/11/19 1:44:32 PM GMT+6","18-24 года","Instagram","1-2 часа","Общение с друзьями;Чтение новостей;Развлечения","Смартфон","Google","Иногда","Часто","Нейтральное","Иногда"
"2024/11/19 1:45:23 PM GMT+6","18-24 года","Instagram","4-6 часов","Общение с друзьями;Чтение новостей;Развлечения;Работа или учеба","Смартфон","Тик ток ","Иногда","Иногда","Нейтральное","Нет"
"2024/11/19 1:45:31 PM GMT+6","18-24 года","TikTok","4-6 часов","Общение с друзьями;Чтение новостей;Развлечения","Смартфон","telegram","Да","Никогда","Нейтральное","Нет"
"2024/11/19 2:01:54 PM GMT+6","18-24 года","Telegram ","2-4 часа","Общение с друзьями;Чтение новостей;Развлечения;Работа или учеба;Продвижение собственного контента","Смартфон","Telegram ","Нет","Редко","Скорее положительное","Да"
"2024/11/19 2:03:19 PM GMT+6","18-24 года","Instagram","2-4 часа","Общение с друзьями;Развлечения;Работа или учеба","Смартфон","Tiktok, Youtube","Да","Иногда","Нейтральное","Нет"
